station,setup_date,retrieval_date,problem1_from,problem1_to,problem2_from,problem2_to,problem3_from,problem3_to,problem4_from,problem4_to,problem5_from,problem5_to,problem6_from,problem6_to,problem7_from,problem7_to,problem8_from,problem8_to,problem9_from,problem9_to,problem10_from,problem10_to,problem11_from,problem11_to,problem12_from,problem12_to
18B,11/10/2021 8:30,19/01/2024 9:17,15/12/2022 13:38,17/01/2023 9:05,25/01/2023 10:09,13/03/2023 0:00,13/11/2023 10:03,16/11/2023 9:06,17/11/2023 9:08,19/01/2024 9:17,31/01/2024 9:46,02/04/2024 9:57,26/04/2024 7:24,13/06/2024 7:38,,,,,,,,,,,,
19B,11/10/2021 14:30,19/01/2024 14:05,,,,,,,,,,,,,,,,,,,,,,,,
21B,10/10/2021 15:10,15/01/2024 16:23,01/04/2022 13:47,10/05/2022 13:49,19/06/2023 8:07,05/07/2023 15:04,05/04/2024 16:21,08/04/2024 10:45,,,,,,,,,,,,,,,,,,
22B,09/10/2021 15:10,15/01/2024 12:50,,,,,,,,,,,,,,,,,,,,,,,,
23B,11/10/2021 11:00,19/01/2024 12:39,,,,,,,,,,,,,,,,,,,,,,,,
25B,11/10/2021 12:30,15/01/2024 8:21,,,,,,,,,,,,,,,,,,,,,,,,
26B,10/10/2021 18:15,13/01/2024 14:36,06/11/2021 12:30,21/11/2021 10:31,08/07/2022 18:00,15/09/2022 10:40,20/11/2022 15:11,25/11/2022 12:33,23/07/2023 13:47,05/10/2023 10:40,10/05/2024 17:22,05/09/2024 11:54,,,,,,,,,,,,,,
31B,09/10/2021 16:15,15/01/2024 9:10,,,,,,,,,,,,,,,,,,,,,,,,
39B,12/10/2021 7:45,15/01/2024 13:43,20/04/2022 9:11,10/05/2022 14:42,24/04/2023 2:16,11/05/2023 14:30,14/06/2023 16:25,06/07/2023 12:38,09/07/2023 17:17,04/10/2023 8:33,26/03/2024 7:50,04/04/2024 16:24,27/04/2024 12:33,11/06/2024 9:03,07/07/2024 10:35,06/09/2024 8:19,,,,,,,,,,
41B,10/10/2021 10:40,16/01/2024 9:46,,,,,,,,,,,,,,,,,,,,,,,,
42B,10/10/2021 14:20,16/01/2024 13:56,,,,,,,,,,,,,,,,,,,,,,,,
6B,11/10/2021 16:00,15/01/2024 11:22,26/05/2022 14:13,13/06/2022 16:06,19/06/2022 13:59,21/07/2022 12:30,01/09/2024 14:14,06/09/2024 10:45,,,,,,,,,,,,,,,,,,
7B,10/10/2021 11:30,16/01/2024 11:34,,,,,,,,,,,,,,,,,,,,,,,,
